Image Alt,Image Src
Memphis Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/235.png&scale=crop&cquality=40&location=origin&w=80&h=80
North Texas Mean Green,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/249.png&scale=crop&cquality=40&location=origin&w=80&h=80
Rice Owls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/242.png&scale=crop&cquality=40&location=origin&w=80&h=80
South Florida Bulls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/58.png&scale=crop&cquality=40&location=origin&w=80&h=80
Temple Owls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/218.png&scale=crop&cquality=40&location=origin&w=80&h=80
Tulane Green Wave,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2655.png&scale=crop&cquality=40&location=origin&w=80&h=80
Tulsa Golden Hurricane,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/202.png&scale=crop&cquality=40&location=origin&w=80&h=80
UAB Blazers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/5.png&scale=crop&cquality=40&location=origin&w=80&h=80
UTSA Roadrunners,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2636.png&scale=crop&cquality=40&location=origin&w=80&h=80
Wichita State Shockers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2724.png&scale=crop&cquality=40&location=origin&w=80&h=80
Davidson Wildcats,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2166.png&scale=crop&cquality=40&location=origin&w=80&h=80
Dayton Flyers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2168.png&scale=crop&cquality=40&location=origin&w=80&h=80
Duquesne Dukes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2184.png&scale=crop&cquality=40&location=origin&w=80&h=80
Fordham Rams,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2230.png&scale=crop&cquality=40&location=origin&w=80&h=80
George Mason Patriots,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2244.png&scale=crop&cquality=40&location=origin&w=80&h=80
George Washington Revolutionaries,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/45.png&scale=crop&cquality=40&location=origin&w=80&h=80
La Salle Explorers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2325.png&scale=crop&cquality=40&location=origin&w=80&h=80
Loyola Chicago Ramblers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2350.png&scale=crop&cquality=40&location=origin&w=80&h=80
